City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Bluff,NZ,2020-08-27 02:42:39,-46.6,168.33,45.0,72,81,11.01
119,Eyl,SO,2020-08-27 02:42:47,7.98,49.82,76.89,72,99,17.67
120,Amahai,ID,2020-08-27 02:51:26,-3.33,128.92,82.56,73,60,11.92
121,Muros,ES,2020-08-27 02:43:47,42.78,-9.06,66.99,96,43,5.01
122,Aklavik,CA,2020-08-27 02:42:58,68.22,-135.01,57.2,47,20,12.75
123,Sinnamary,GF,2020-08-27 02:43:04,5.38,-52.95,79.36,84,82,5.46
124,Saldanha,ZA,2020-08-27 02:42:46,-33.01,17.94,46.4,75,0,1.12
125,Atasu,KZ,2020-08-27 02:45:39,48.68,71.64,68.14,36,2,9.55
126,Rawson,AR,2020-08-27 02:42:50,-43.3,-65.1,48.83,80,92,8.93
127,Georgetown,MY,2020-08-27 02:42:40,5.41,100.34,86.0,79,20,2.24
128,Tasiilaq,GL,2020-08-27 02:42:47,65.61,-37.64,32.0,81,0,6.93
129,Jarocin,PL,2020-08-27 02:51:27,51.97,17.5,64.0,81,99,1.99
130,Bethel,US,2020-08-27 02:42:43,41.37,-73.41,62.01,72,1,3.56
131,Antofagasta,CL,2020-08-27 02:43:46,-23.65,-70.4,55.4,87,75,13.87
132,Sangar,RU,2020-08-27 02:48:26,63.92,127.47,61.5,32,0,7.4
133,Sola,VU,2020-08-27 02:42:56,-13.88,167.55,80.69,80,68,19.53
134,Bolu,TR,2020-08-27 02:51:27,40.67,31.58,57.13,61,49,2.04
135,Ukiah,US,2020-08-27 02:46:01,39.15,-123.21,82.4,28,1,6.93
136,Kalmunai,LK,2020-08-27 02:42:40,7.42,81.82,84.4,67,70,7.4
137,Ushtobe,KZ,2020-08-27 02:50:43,45.25,77.98,65.35,48,87,7.27
138,Gizeh,EG,2020-08-27 02:46:31,30.01,31.21,77.0,73,0,4.7
139,Tommot,RU,2020-08-27 02:48:24,58.96,126.29,58.71,58,73,1.3
140,Bowen,AU,2020-08-27 02:42:50,-20.02,148.23,77.0,36,48,14.99
141,Lagoa,PT,2020-08-27 02:42:58,39.05,-27.98,73.15,90,18,3.27
142,Aromashevo,RU,2020-08-27 02:51:27,56.86,68.64,56.44,81,1,6.98
143,Lebu,CL,2020-08-27 02:42:38,-37.62,-73.65,48.42,89,39,12.08
144,Buta,CD,2020-08-27 02:51:27,2.79,24.73,68.56,98,88,1.68
145,Tsumeb,NA,2020-08-27 02:43:46,-19.23,17.72,63.09,30,0,11.59
146,Juneau,US,2020-08-27 02:42:46,58.3,-134.42,57.0,87,96,2.51
147,Srednekolymsk,RU,2020-08-27 02:43:03,67.45,153.68,50.14,57,100,10.09
148,Berlevag,NO,2020-08-27 02:42:42,70.86,29.09,45.66,82,92,8.88
149,Bandarbeyla,SO,2020-08-27 02:42:41,9.49,50.81,76.53,75,91,26.26
150,Laurel,US,2020-08-27 02:51:27,39.1,-76.85,80.01,65,1,4.05
151,Arman,RU,2020-08-27 02:42:57,59.7,150.17,60.28,43,0,3.96
152,Businga,CD,2020-08-27 02:51:27,3.33,20.88,69.51,97,91,1.63
153,Kavieng,PG,2020-08-27 02:43:03,-2.57,150.8,85.28,64,36,3.42
154,Saint-Pierre,RE,2020-08-27 02:42:56,-21.34,55.48,66.2,63,20,6.93
155,Brae,GB,2020-08-27 02:43:04,60.4,-1.35,50.0,87,69,8.05
156,Yumaguzino,RU,2020-08-27 02:51:27,52.9,56.39,62.06,82,50,3.62
157,Luderitz,NA,2020-08-27 02:42:55,-26.65,15.16,53.4,81,0,8.55
158,Jalpan,MX,2020-08-27 02:51:28,21.23,-99.48,71.56,80,99,0.22
159,Lata,PT,2020-08-27 02:42:41,40.16,-8.33,69.01,90,44,1.01
160,Namatanai,PG,2020-08-27 02:42:51,-3.67,152.43,85.01,70,46,5.21
